Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
JPM,JPMorgan Chase & Co,2021/10/13,-,-,-
JPM,JPMorgan Chase & Co,2021/7/13,-,-,-
JPM,JPMorgan Chase & Co,2021/4/14,2.78,-,-
JPM,JPMorgan Chase & Co.,2021/1/15,2.62,3.79,44.44
JPM,JPMorgan Chase & Co.,2020/10/13,2.23,2.92,31.18
JPM,JPMorgan Chase & Co.,2020/7/14,1.04,1.38,32.56
JPM,JPMorgan Chase & Co.,2020/4/14,1.84,0.78,-57.65
JPM,JPMorgan Chase & Co.,2020/1/14,2.35,2.57,9.32
JPM,JPMorgan Chase & Co.,2019/10/15,2.45,2.68,9.34
JPM,JPMorgan Chase & Co.,2019/7/16,2.5,2.82,12.94
JPM,JPMorgan Chase & Co.,2019/4/12,2.35,2.65,12.62
JPM,JPMorgan Chase & Co.,2019/1/15,2.2,1.98,-10
JPM,JPMorgan Chase & Co.,2018/10/12,2.25,2.34,3.91
JPM,JPMorgan Chase & Co.,2018/7/13,2.22,2.29,3.29
JPM,JPMorgan Chase & Co.,2018/4/13,2.28,2.37,3.86
JPM,JPMorgan Chase & Co.,2018/1/12,1.69,1.76,4.08
JPM,JPMorgan Chase & Co.,2017/10/12,1.65,1.76,6.47
JPM,JPMorgan Chase & Co.,2017/7/14,1.58,1.82,14.97
JPM,JPMorgan Chase & Co.,2017/4/13,1.52,1.65,8.62
JPM,JPMorgan Chase & Co.,2017/1/13,1.44,1.71,19.08
JPM,JPMorgan Chase & Co.,2016/10/14,1.39,1.58,13.67
JPM,JPMorgan Chase & Co.,2016/7/14,1.43,1.55,8.54
JPM,JPMorgan Chase & Co.,2016/4/13,1.26,1.35,7.4
JPM,JPMorgan Chase & Co.,2016/1/14,1.25,1.32,5.35