,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%),Sign,Expectation,Performance
0,WU,Western Union Co,2021/10/27,0,0,0,None,None,NA
1,WU,Western Union Co,2021/9/27,0,0,0,None,None,NA
2,WU,Western Union Co,2021/8/28,0,0,0,None,None,NA
3,WU,Western Union Co,2021/8/2,0,0,0,None,None,NA
4,WU,Western Union Co,2021/7/3,0.153,0,0,None,None,NA
5,WU,Western Union Co,2021/6/3,0.307,0,0,None,None,NA
6,WU,Western Union Co,2021/5/3,0.46,0,0,None,None,NA
7,WU,Western Union Co,2021/4/3,0.447,0.15,2.467,positive,Pos_Average,OutP
8,WU,Western Union Co,2021/3/4,0.433,0.3,4.933,positive,Pos_Average,OutP
9,WU,Western Union Co,2021/2/10,0.42,0.45,7.4,positive,Above_Average,OutP
10,WU,Western Union Co,2021/1/11,0.433,0.49,12.637,positive,Significantly_Above,OutP
11,WU,Western Union Co,2020/12/12,0.447,0.53,17.873,positive,Significantly_Above,OutP
12,WU,Western Union Co,2020/10/29,0.46,0.57,23.11,positive,Significantly_Above,OutP
13,WU,Western Union Co,2020/9/29,0.423,0.517,21.46,positive,Significantly_Above,OutP
14,WU,Western Union Co,2020/8/30,0.387,0.463,19.81,positive,Significantly_Above,OutP
15,WU,Western Union Co,2020/8/4,0.35,0.41,18.16,positive,Significantly_Above,OutP
16,WU,Western Union Co,2020/7/5,0.37,0.42,14.373,positive,Significantly_Above,OutP
17,WU,Western Union Co,2020/6/5,0.39,0.43,10.587,positive,Significantly_Above,OutP
18,WU,Western Union Co,2020/5/5,0.41,0.44,6.8,positive,Above_Average,regular
19,WU,Western Union Co,2020/4/5,0.417,0.42,0.863,positive,Pos_Average,regular
20,WU,Western Union Co,2020/3/6,0.423,0.4,-5.073,negative,Below_Average,UnderP
21,WU,Western Union Co,2020/2/11,0.43,0.38,-11.01,negative,Significantly_Below,regular
22,WU,Western Union Co,2020/1/12,0.44,0.417,-5.243,negative,Below_Average,regular
23,WU,Western Union Co,2019/12/13,0.45,0.453,0.523,positive,Pos_Average,regular
24,WU,Western Union Co,2019/10/31,0.46,0.49,6.29,positive,Above_Average,regular
25,WU,Western Union Co,2019/10/1,0.507,0.477,-4.263,negative,Neg_Average,UnderP
26,WU,Western Union Co,2019/9/1,0.553,0.463,-14.817,negative,Significantly_Below,UnderP
27,WU,Western Union Co,2019/8/1,0.6,0.45,-25.37,negative,Significantly_Below,UnderP
28,WU,Western Union Co,2019/7/2,0.543,0.437,-18.24,negative,Significantly_Below,UnderP
29,WU,Western Union Co,2019/6/2,0.487,0.423,-11.11,negative,Significantly_Below,UnderP
30,WU,Western Union Co,2019/5/7,0.43,0.41,-3.98,negative,Neg_Average,UnderP
31,WU,Western Union Co,2019/4/7,0.45,0.437,-2.79,negative,Neg_Average,UnderP
32,WU,Western Union Co,2019/3/8,0.47,0.463,-1.6,negative,Neg_Average,regular
33,WU,Western Union Co,2019/2/7,0.49,0.49,-0.41,negative,Neg_Average,regular
34,WU,Western Union Co,2019/1/8,0.487,0.5,2.657,positive,Pos_Average,OutP
35,WU,Western Union Co,2018/12/9,0.483,0.51,5.723,positive,Above_Average,OutP
36,WU,Western Union Co,2018/11/1,0.48,0.52,8.79,positive,Above_Average,OutP
37,WU,Western Union Co,2018/10/2,0.477,0.5,5.15,positive,Above_Average,regular
38,WU,Western Union Co,2018/9/2,0.473,0.48,1.51,positive,Pos_Average,regular
39,WU,Western Union Co,2018/8/2,0.47,0.46,-2.13,negative,Neg_Average,regular
40,WU,Western Union Co,2018/7/3,0.453,0.457,0.623,positive,Pos_Average,OutP
41,WU,Western Union Co,2018/6/3,0.437,0.453,3.377,positive,Pos_Average,OutP
42,WU,Western Union Co,2018/5/1,0.42,0.45,6.13,positive,Above_Average,regular
43,WU,Western Union Co,2018/4/1,0.43,0.437,1.123,positive,Pos_Average,regular
44,WU,Western Union Co,2018/3/2,0.44,0.423,-3.883,negative,Neg_Average,regular
45,WU,Western Union Co,2018/2/13,0.45,0.41,-8.89,negative,Below_Average,regular
46,WU,Western Union Co,2018/1/14,0.45,0.45,0.087,positive,Pos_Average,OutP
47,WU,Western Union Co,2017/12/15,0.45,0.49,9.063,positive,Above_Average,OutP
48,WU,Western Union Co,2017/11/2,0.45,0.53,18.04,positive,Significantly_Above,OutP
49,WU,Western Union Co,2017/10/3,0.44,0.52,18.853,positive,Significantly_Above,OutP
50,WU,Western Union Co,2017/9/3,0.43,0.51,19.667,positive,Significantly_Above,OutP
51,WU,Western Union Co,2017/8/3,0.42,0.5,20.48,positive,Significantly_Above,regular
52,WU,Western Union Co,2017/7/4,0.41,0.45,9.93,positive,Above_Average,regular
53,WU,Western Union Co,2017/6/4,0.4,0.4,-0.62,negative,Neg_Average,UnderP
54,WU,Western Union Co,2017/5/2,0.39,0.35,-11.17,negative,Significantly_Below,regular
55,WU,Western Union Co,2017/4/2,0.403,0.39,-4.09,negative,Neg_Average,regular
56,WU,Western Union Co,2017/3/3,0.417,0.43,2.99,positive,Pos_Average,OutP
57,WU,Western Union Co,2017/2/9,0.43,0.47,10.07,positive,Significantly_Above,OutP
58,WU,Western Union Co,2017/1/10,0.433,0.46,6.487,positive,Above_Average,regular
59,WU,Western Union Co,2016/12/11,0.437,0.45,2.903,positive,Pos_Average,regular
60,WU,Western Union Co,2016/11/1,0.44,0.44,-0.68,negative,Neg_Average,regular
61,WU,Western Union Co,2016/10/2,0.427,0.433,1.04,positive,Pos_Average,OutP
62,WU,Western Union Co,2016/9/2,0.413,0.427,2.76,positive,Pos_Average,OutP
63,WU,Western Union Co,2016/8/3,0.4,0.42,4.48,positive,Pos_Average,regular
64,WU,Western Union Co,2016/7/4,0.393,0.403,2.197,positive,Pos_Average,regular
65,WU,Western Union Co,2016/6/4,0.387,0.387,-0.087,negative,Neg_Average,UnderP
66,WU,Western Union Co,2016/5/3,0.38,0.37,-2.37,negative,Neg_Average,UnderP
67,WU,Western Union Co,2016/4/3,0.393,0.387,-1.34,negative,Neg_Average,regular
68,WU,Western Union Co,2016/3/4,0.407,0.403,-0.31,negative,Neg_Average,regular
69,WU,Western Union Co,2016/2/9,0.42,0.42,0.72,positive,Pos_Average,regular